entity ,category,start       ,end         ,duration        ,confidence,id
art    ,        ,00:01:45.280,00:01:51.000,5.72            ,0.46792653,c2B1ghS1fOE
vehicle,        ,00:00:27.200,00:00:36.560,9.36000000000001,0.459716  ,MGrLtKlC5Sc
vehicle,        ,00:01:51.040,00:01:56.840,5.8             ,0.38937214,c2B1ghS1fOE
vehicle,        ,00:00:40.440,00:00:45.920,5.48            ,0.5502334 ,c2B1ghS1fOE
vehicle,        ,00:00:30.280,00:00:34.960,4.68            ,0.73404115,c2B1ghS1fOE
vehicle,        ,00:00:40.680,00:00:45.080,4.4             ,0.5298958 ,eIhGAa6PW98
vehicle,        ,00:00:53.120,00:00:57.280,4.16            ,0.9191926 ,eIhGAa6PW98
vehicle,        ,00:01:29.480,00:01:33.600,4.11999999999999,0.96789396,MGrLtKlC5Sc
vehicle,        ,00:00:49.120,00:00:53.080,3.96            ,0.9549232 ,eIhGAa6PW98
vehicle,        ,00:01:14.080,00:01:17.880,3.8             ,0.5502334 ,eIhGAa6PW98
vehicle,        ,00:00:49.200,00:00:52.520,3.32            ,0.459716  ,c2B1ghS1fOE
vehicle,        ,00:01:06.760,00:01:07.840,1.08            ,0.31839675,eIhGAa6PW98
